time,alt,u,v,temp,bv2,lat,long
3201,16014,-0.19778337,-1.141582564,-0.15532834,0.000525822,-38.854272,-72.125041
3202,16018,0.002218797,-1.055814917,-0.149514302,0.000526316,-38.854217,-72.124877
3203,16023,0.110193184,-1.009109413,-0.143727222,-0.000194163,-38.854161,-72.124712
3204,16028,0.218190566,-0.962392798,-0.237870857,-0.000194058,-38.854105,-72.124547
3205,16032,0.32635331,-0.915550147,-0.23204214,0.000527307,-38.85405,-72.124382
3206,16037,0.434539889,-0.868696423,-0.226241103,0.000527804,-38.853994,-72.124217
3207,16042,0.542750599,-0.821831485,-0.220467781,0.000528302,-38.853939,-72.124053
3208,16047,0.761766098,-1.042655617,-0.214625308,0.00026424,-38.853883,-72.123888
3209,16051,0.870562178,-0.997365132,-0.208809995,0.000264561,-38.853827,-72.123723
3210,16056,0.979199665,-0.952130247,-0.202925597,7.16E-05,-38.853772,-72.123558
3211,16061,0.90233197,-0.981839423,-0.297069045,7.21E-05,-38.853724,-72.123393
3212,16066,0.732677188,-1.049032075,-0.291240371,0.000530303,-38.853676,-72.123228
3213,16071,0.667177501,-1.380889002,-0.285342708,0.000530806,-38.853629,-72.123062
3214,16076,0.589422225,-1.408995208,-0.279472365,0.000265493,-38.853582,-72.122897
3215,16081,0.418145295,-1.472904912,-0.273629372,-0.000192144,-38.853535,-72.122732
3216,16086,0.340019209,-1.50089636,-0.367813761,7.39E-05,-38.853488,-72.122567
3217,16091,0.26423179,-1.821303021,-0.362025563,0.00053232,-38.853441,-72.122401
3218,16097,0.091136026,-1.881668725,-0.35626481,0.000532826,-38.853394,-72.122236
3219,16102,0.011790186,-1.907755894,-0.350434633,0.000533334,-38.853347,-72.122071
3220,16107,-0.161657596,-1.967936901,-0.34463134,0.000533842,-38.853299,-72.121906
3221,16112,-0.15333983,-2.242322061,-0.338854962,-0.000191039,-38.853252,-72.12174
3222,16117,-0.328357941,-2.299121685,-0.433105529,-0.000190926,-38.853205,-72.121575
3223,16122,-0.408966981,-2.323260956,-0.427286794,0.000534862,-38.853158,-72.12141
3224,16127,-0.503454958,-2.621591929,-0.421495687,0.000535373,-38.853111,-72.121245
3225,16132,-0.585038275,-2.643996942,-0.415635337,0.000535885,-38.853064,-72.121079
3226,16137,-0.761879913,-2.697205386,-0.409802051,7.80E-05,-38.853017,-72.120914
3227,16142,-0.864907436,-2.985107551,-0.503995856,-0.000190063,-38.852969,-72.120749
3228,16147,-0.947603491,-3.005683461,-0.498216784,0.000268622,-38.852922,-72.120583
3229,16152,-1.12611885,-3.055496702,-0.49246486,0.000537428,-38.852875,-72.120418
3230,16157,-1.141282616,-3.305335889,-0.486740116,0.000537945,-38.852828,-72.120253
3231,16162,-1.2924323,-3.096565405,-0.48104258,7.99E-05,-38.852781,-72.120088
3232,16167,-1.375932196,-3.117002317,-0.575275381,8.04E-05,-38.852734,-72.119922
3233,16173,-1.363974868,-3.108118215,-0.569534824,0.000269583,-38.852687,-72.119757
3234,16178,-1.44757117,-3.12906778,-0.563820939,0.000269917,-38.852639,-72.119592
3235,16183,-1.601035264,-2.928678997,-0.558133752,0.00054002,-38.852592,-72.119427
3236,16188,-1.684475512,-2.951486815,-0.552473291,0.000540541,-38.852545,-72.119261
3237,16193,-1.672876572,-2.943436826,-0.546839585,0.000541063,-38.852498,-72.119096
3238,16198,-1.756577669,-2.966311136,-0.541232662,8.28E-05,-38.852451,-72.118931
3239,16203,-1.840345026,-2.989229601,-0.63565255,-0.000187895,-38.852404,-72.118766
3240,16208,-1.995836816,-2.79869792,-0.629906101,0.000271224,-38.852357,-72.1186
3241,16213,-1.984990169,-2.790897801,-0.624186517,0.000542636,-38.85231,-72.118435
3242,16218,-2.068761429,-2.815698679,-0.618493825,0.000543162,-38.852262,-72.11827
3243,16224,-2.152549256,-2.841242248,-0.612828051,0.00054369,-38.852215,-72.118105
3244,16229,-2.309808836,-2.65953974,-0.607189221,0.000544218,-38.852161,-72.117936
3245,16234,-2.29930168,-2.652612286,-0.601577363,8.57E-05,-38.852099,-72.117764
3246,16239,-2.382828317,-2.679936045,-0.695992502,-0.000186528,-38.852036,-72.117591
3247,16245,-2.466636952,-2.70733535,-0.690434664,0.00027281,-38.851973,-72.117419
3248,16250,-2.532242607,-2.497833179,-0.684903877,0.000545809,-38.851911,-72.117246
3249,16255,-2.615612256,-2.527018417,-0.679400166,0.000546342,-38.851848,-72.117074
3250,16260,-2.699082081,-2.556210827,-0.67382666,8.76E-05,-38.851785,-72.116901
3251,16266,-2.315824736,-2.406268101,-0.768279661,8.82E-05,-38.851722,-72.116729
3252,16271,-2.015822325,-2.045232316,-0.762759194,0.000547945,-38.85166,-72.116556
3253,16276,-1.542567009,-1.851391549,-0.757265285,0.000274068,-38.851597,-72.116384
3254,16281,-1.162218702,-1.695059176,-0.75179796,0.000274414,-38.851534,-72.116211
3255,16287,-0.781842662,-1.53883569,-0.746357244,0.00054902,-38.851471,-72.116039
3256,16292,-0.499709789,-1.145629663,-0.740943163,9.01E-05,-38.851409,-72.115866
3257,16297,-0.122039525,-0.983112658,-0.835555742,9.07E-05,-38.851346,-72.115693
